id,symbol,name,Proximal,Distal,foldChange,log2FoldChange,pval,FDR
ENSDARG00000000349,si:rp71-1p14.7,si:rp71-1p14.7,3.191647219,6.366414424,1.994399627,0.995954518,0.133108665,0.25245342
ENSDARG00000000369,prkag3b,"protein kinase, AMP-activated, gamma 3b non-catalytic subunit",5.736784004,13.1691431,2.295336159,1.198705456,0.013819725,0.040025448
ENSDARG00000000370,triob,trio Rho guanine nucleotide exchange factor b,1091.591755,1512.882345,1.385941175,0.470866025,0.00017784,0.000885001
ENSDARG00000000380,pde6a,"phosphodiesterase 6A, cGMP-specific, rod, alpha",7.650267256,11.73292303,1.533592102,0.616914812,0.192077497,0.332594449
ENSDARG00000000394,matr3l1.1,matrin 3-like,1400.91367,1519.666157,1.084767823,0.11738629,0.284578217,0.447688956
ENSDARG00000000423,si:ch73-314g15.3,si:ch73-314g15.3,44.30297292,31.52598786,0.711606336,-0.490848738,0.0426223,0.101592047
ENSDARG00000000442,slc39a13,"solute carrier family 39 (zinc transporter), member 13",205.5774931,246.7343684,1.200200296,0.263275191,0.051375206,0.118391623
ENSDARG00000000460,nitr2b,novel immune-type receptor 2b,5.768299677,2.663268694,0.461801058,-1.114656617,0.094668243,0.192846684
ENSDARG00000000472,cntn2,,4.489839667,4.548876278,1.013146007,0.0188421,0.93372235,0.982459105
ENSDARG00000000476,pms1,"PMS1 homolog 1, mismatch repair system component",109.4153282,139.4079072,1.274114289,0.349494695,0.027421827,0.070938481
ENSDARG00000000489,upf3b,UPF3 regulator of nonsense transcripts homolog B (yeast),180.5646969,186.8240342,1.034665152,0.049163944,0.733432882,0.849597267
ENSDARG00000000503,stx1b,syntaxin 1B,11.37119714,4.321489565,0.380092739,-1.395576628,0.01858084,0.051367319
ENSDARG00000000516,ankar,ankyrin and armadillo repeat containing,4.110151556,5.418664874,1.318283892,0.398661087,0.559338198,0.715615327
ENSDARG00000000529,ofd1,oral-facial-digital syndrome 1,164.310504,244.5868866,1.488562155,0.573919463,3.65E-05,0.000212468
ENSDARG00000000540,asnsd1,asparagine synthetase domain containing 1,421.3532987,299.9570182,0.711890253,-0.490273247,0.000100844,0.000534576
ENSDARG00000000542,gtf2e1,"general transcription factor IIE, polypeptide 1, alpha",282.7409154,310.7443977,1.099042557,0.136247252,0.281566344,0.444234778
ENSDARG00000000551,slc1a4,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4",5.634104205,11.11555227,1.972732333,0.98019522,0.042122135,0.100604801
ENSDARG00000000563,ttnb,,65.64954384,35.81865906,0.545611003,-0.874055357,4.83E-05,0.000273698
ENSDARG00000000567,znf281a,zinc finger protein 281a,394.7772226,373.538169,0.946200038,-0.079782877,0.512008646,0.674927334
ENSDARG00000000568,ell,elongation factor RNA polymerase II,585.9810864,505.4657985,0.862597698,-0.21324023,0.064269303,0.141754667
ENSDARG00000000588,grasp,GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein,429.367628,464.1241345,1.080947941,0.112297044,0.597405714,0.746207148
ENSDARG00000000606,dnah7l,"dynein, axonemal, heavy chain 6",108.0598575,40.86924173,0.378215042,-1.402721354,2.57E-13,4.80E-12
ENSDARG00000000631,ptpn4a,"protein tyrosine phosphatase, non-receptor type 4a",1378.65325,1900.740684,1.378693523,0.463301788,2.18E-05,0.000133016
ENSDARG00000000651,osgepl1,O-sialoglycoprotein endopeptidase-like 1,13.29189406,7.014053421,0.527729581,-0.92212924,0.036337389,0.08929444
ENSDARG00000000656,psmb9a,"proteasome (prosome, macropain) subunit, beta type, 9a",397.5071953,468.6991942,1.179095676,0.237680789,0.054328233,0.123795951
ENSDARG00000000666,creg2,cellular repressor of E1A-stimulated genes 2,784.9732957,624.3093853,0.795325896,-0.330381948,0.004050511,0.014073359
ENSDARG00000000690,sypl2b,synaptophysin-like 2b,135.9292595,200.0868147,1.471988764,0.557766659,0.000179565,0.000892826
ENSDARG00000000729,daxx,death-domain associated protein,314.9062569,292.4210804,0.928597465,-0.106874753,0.461846669,0.629495047
ENSDARG00000000730,slc6a13,"solute carrier family 6 (neurotransmitter transporter), member 13",166.5417369,192.9024374,1.158281898,0.211986413,0.153064214,0.280262467
ENSDARG00000000747,lcmt2,leucine carboxyl methyltransferase 2,54.82693313,45.56263424,0.83102958,-0.267028265,0.230951993,0.38342913
ENSDARG00000000760,znf511,zinc finger protein 511,23.1650562,32.69418198,1.41134001,0.497065594,0.064809081,0.14268972
ENSDARG00000000767,spi1b,Spi-1 proto-oncogene b,164.6739213,115.8191558,0.703326013,-0.507734518,0.000907837,0.003799274
ENSDARG00000000779,scfd1,sec1 family domain containing 1,691.804259,765.0907396,1.105935131,0.145266766,0.212270697,0.359647491
ENSDARG00000000796,nr4a1,"nuclear receptor subfamily 4, group A, member 1",409.7837682,446.595669,1.089832282,0.124106131,0.63941858,0.778978317
ENSDARG00000000804,rassf6,Ras association (RalGDS/AF-6) domain family 6,290.8736528,384.3590121,1.32139397,0.402060666,0.001701994,0.006622357
ENSDARG00000000830,telo2,"TEL2, telomere maintenance 2, homolog (S. cerevisiae)",152.1150066,125.3464297,0.824025246,-0.279239557,0.075007387,0.16043437
ENSDARG00000000837,snx9a,sorting nexin 9a,464.1122352,353.8928877,0.762516259,-0.391159996,0.001873551,0.007191832
ENSDARG00000000853,dstyk,dual serine/threonine and tyrosine protein kinase,850.2303336,806.8979743,0.949034624,-0.075467372,0.527715342,0.68913591
ENSDARG00000000857,mapk14a,mitogen-activated protein kinase 14a,902.9608562,1142.954447,1.26578486,0.340032217,0.013248846,0.038677309
ENSDARG00000000861,scrib,scribbled planar cell polarity protein,4453.86915,3343.426048,0.750679058,-0.413731859,0.000106964,0.000562683
ENSDARG00000000906,skap2,src kinase associated phosphoprotein 2,78.74850495,62.43788288,0.792879688,-0.334826128,0.077036312,0.163845679
ENSDARG00000000935,unk,unkempt family zinc finger,399.2774755,359.8795412,0.901327177,-0.149877203,0.249771046,0.406229434
ENSDARG00000000943,dzip1,DAZ interacting zinc finger protein 1,269.0901137,258.423887,0.960362025,-0.058349737,0.705325624,0.831483449
ENSDARG00000000966,ncor2,nuclear receptor corepressor 2,3544.5422,3247.651888,0.916240177,-0.126202269,0.237366718,0.391275579
ENSDARG00000001014,myh9b,"myosin, heavy chain 9b, non-muscle",11186.6467,10368.30562,0.926846621,-0.109597481,0.293958902,0.458409791
ENSDARG00000001015,znf384l,zinc finger protein 384 like,567.1291467,722.4534891,1.273877774,0.349226861,0.016003945,0.045340314
ENSDARG00000001057,bysl,bystin-like,660.4208048,471.6922611,0.714230296,-0.485538764,0.000620175,0.002701893
ENSDARG00000001129,dicer1,"dicer 1, ribonuclease type III",1733.783059,1367.105682,0.788510354,-0.342798396,0.001463303,0.005799592
ENSDARG00000001154,rimbp2,,35.84659288,33.45357476,0.933244664,-0.099672741,0.681127934,0.812489746
ENSDARG00000001162,matr3l1.1,uncharacterized LOC556124,783.061001,787.8327674,1.006093727,0.008764713,0.972222982,1
ENSDARG00000001169,hsd17b8,hydroxysteroid (17-beta) dehydrogenase 8,20.87692554,23.46750345,1.124082151,0.168747476,0.618239329,0.762611277
ENSDARG00000001210,arl14ep,ADP-ribosylation factor-like 14 effector protein,76.35224532,90.52964012,1.185681627,0.245716677,0.169654383,0.303330113
ENSDARG00000001220,mycbp2,MYC binding protein 2,12035.24353,15025.14821,1.248429076,0.320113864,0.002064593,0.007836399
ENSDARG00000001234,map4k2,mitogen-activated protein kinase kinase kinase kinase 2,268.2350931,398.7666727,1.486629439,0.572045083,7.86E-06,5.21E-05
ENSDARG00000001241,puf60b,poly-U binding splicing factor b,1014.310076,954.6137043,0.941145894,-0.087509711,0.455401156,0.623542307
ENSDARG00000001244,srrm1,serine/arginine repetitive matrix 1,1608.411759,1153.307227,0.717047425,-0.479859554,8.50E-06,5.60E-05
ENSDARG00000001249,pcgf1,polycomb group ring finger 1,65.47528445,68.61409079,1.047938064,0.067553453,0.724927629,0.845857325
ENSDARG00000001259,,,65.05067276,19.39039696,0.298092211,-1.746169416,4.47E-13,8.15E-12
ENSDARG00000001303,psmb8a,"proteasome (prosome, macropain) subunit, beta type, 8A",728.2666083,1048.900814,1.440269761,0.526339052,4.82E-06,3.34E-05
ENSDARG00000001313,g2e3,G2/M-phase specific E3 ubiquitin protein ligase,5.385599616,5.215905477,0.968496983,-0.04618054,1,1
ENSDARG00000001354,slc6a13l,"solute carrier family 6 (neurotransmitter transporter, GABA), member 13 like",6.907260733,9.383562015,1.358455098,0.44196688,0.410244949,0.580854201
ENSDARG00000001414,mctp2a,"multiple C2 domains, transmembrane 2a",563.455938,1337.598199,2.373915571,1.247268626,7.83E-28,4.11E-26
ENSDARG00000001431,actn3b,actinin alpha 3b,23.41296889,16.54898691,0.70684244,-0.50053943,0.126690543,0.242441045
ENSDARG00000001437,slc2a1a,"solute carrier family 2 (facilitated glucose transporter), member 1a",0.36237066,12.44592078,34.25406107,5.098203135,3.85E-10,5.05E-09
ENSDARG00000001442,inppl1b,inositol polyphosphate phosphatase-like,331.9017317,445.3128617,1.341699899,0.424062017,0.000738081,0.003151624
ENSDARG00000001447,mier1b,"mesoderm induction early response 1b, transcriptional regulator",104.589418,92.35369996,0.883013011,-0.179493399,0.31003918,0.475969627
ENSDARG00000001452,adam8a,ADAM metallopeptidase domain 8a,127.1067573,190.9062167,1.501932067,0.586819561,7.73E-05,0.000420214
ENSDARG00000001463,tdh2,L-threonine dehydrogenase 2,8.928585242,5.774013104,0.646728034,-0.628768947,0.215386015,0.363956392
ENSDARG00000001470,mhc1zea,zgc:162351,91.06133593,92.26132253,1.013177639,0.018887142,0.970732797,1
ENSDARG00000001498,skap1,src kinase associated phosphoprotein 1,64.73866659,36.26917086,0.560246488,-0.835866394,6.87E-05,0.000378322
ENSDARG00000001549,sp3a,sp3a transcription factor,866.6856395,884.0438055,1.020028192,0.028609026,0.804851854,0.899043184
ENSDARG00000001557,tomm34,translocase of outer mitochondrial membrane 34,494.6615124,510.0583336,1.031125911,0.044220511,0.700596382,0.82771208
ENSDARG00000001558,kifc1,kinesin family member C1-like,28.39548223,31.53763983,1.110653058,0.151408223,0.762266772,0.870418206
ENSDARG00000001559,csmd2,CUB and Sushi multiple domains 2,420.2899359,56.47653103,0.134377228,-2.895639417,3.25E-55,5.95E-53
ENSDARG00000001572,prf1.3,perforin 1.3,3.721217926,2.166709631,0.582370424,-0.779991006,0.357908727,0.527520363
ENSDARG00000001578,echs1,"enoyl CoA hydratase, short chain, 1, mitochondrial",241.4596438,255.09399,1.056466122,0.079246505,0.54151909,0.700469519
ENSDARG00000001621,nfyal,"nuclear transcription factor Y, alpha, like",131.9936476,128.7268044,0.975250184,-0.036155729,0.891521887,0.955671609
ENSDARG00000001634,kirrela,kin of IRRE like a,1016.743778,733.4882129,0.721409373,-0.471109927,2.72E-05,0.000163159
ENSDARG00000001656,psmb10,"proteasome (prosome, macropain) subunit, beta type, 10",624.8012104,913.476242,1.462026265,0.547969229,1.69E-06,1.27E-05
ENSDARG00000001676,gpm6bb,glycoprotein M6Bb,453.5752527,1098.194431,2.421192522,1.275717801,3.88E-28,2.07E-26
ENSDARG00000001686,uckl1a,uridine-cytidine kinase 1-like 1a,7.233107378,43.12260849,5.961151284,2.575590987,6.92E-16,1.64E-14
ENSDARG00000001710,flot1a,flotillin 1a,25.83423672,97.14089953,3.760054557,1.910753595,6.06E-17,1.56E-15
ENSDARG00000001721,oc90,otoconin 90,4.146323898,7.25290737,1.749057356,0.806577599,0.224708437,0.375273031
ENSDARG00000001729,strn3,"striatin, calmodulin binding protein 3",1102.204536,1260.832151,1.143918362,0.193984095,0.082673489,0.173206546
ENSDARG00000001733,gulp1a,"GULP, engulfment adaptor PTB domain containing 1a",155.3617226,267.7180854,1.723187396,0.785079603,1.38E-08,1.45E-07
ENSDARG00000001734,fkbp8,FK506 binding protein 8,211.671597,202.2784948,0.955624383,-0.065484431,0.667611091,0.800982723
ENSDARG00000001754,noc2l,NOC2-like nucleolar associated transcriptional repressor,662.1760053,385.7506554,0.582550666,-0.779544565,0.000573798,0.002521435
ENSDARG00000001760,tnxba,,2.794175425,0.453924008,0.162753294,-2.619241352,0.045450485,0.106971354
ENSDARG00000001767,slc29a2,"solute carrier family 29 (equilibrative nucleoside transporter), member 2",42.20153555,48.39301055,1.146708602,0.197498825,0.547127629,0.705624898
ENSDARG00000001769,ptpra,"protein tyrosine phosphatase, receptor type, A",2269.479611,1944.181678,0.85666415,-0.223198379,0.038515546,0.093527478
ENSDARG00000001771,otol1a,otolin 1a,12.91269725,9.886182355,0.765635291,-0.385270764,0.375170233,0.545352711
ENSDARG00000001776,stim2b,stromal interaction molecule 2b,475.5814367,395.4954813,0.831604472,-0.266030578,0.027466533,0.071038429
ENSDARG00000001777,nup155,nucleoporin 155,1343.226056,1015.967871,0.75636421,-0.402846996,0.000287578,0.001364378
ENSDARG00000001781,tspan11,tetraspanin 11,18.99433282,23.17464909,1.220070704,0.286964756,0.349239053,0.518859316
ENSDARG00000001782,prkacba,"protein kinase, cAMP-dependent, catalytic, beta a",39.37961836,16.91485985,0.429547848,-1.219109252,1.01E-05,6.54E-05
ENSDARG00000001785,irx2a,iroquois homeobox 2a,40.04280875,2.664561057,0.066566122,-3.909068068,1.33E-08,1.40E-07
ENSDARG00000001788,atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",1936.520484,1723.039114,0.889760392,-0.168511217,0.127406977,0.243534212
ENSDARG00000001803,kcnh6a,"potassium voltage-gated channel, subfamily H (eag-related), member 6a",135.993008,63.91640116,0.470001599,-1.089262431,3.98E-07,3.33E-06
ENSDARG00000001804,zgc:112148,zgc:112148,60.3100825,109.0345203,1.807885313,0.85430316,0.000208895,0.001026019
ENSDARG00000001807,tnfrsf21,"tumor necrosis factor receptor superfamily, member 21",957.5082791,1991.914079,2.080308904,1.056797769,1.66E-21,6.02E-20
ENSDARG00000001817,,spindlin-W-like,142.2078975,117.868991,0.828851029,-0.270815268,0.08596757,0.178678562
ENSDARG00000001825,cfap43,cilia and flagella associated protein 43,110.0505623,222.1174213,2.018312294,1.01314942,4.08E-06,2.87E-05
ENSDARG00000001829,zgc:112982,zgc:112982,1183.906183,1025.540912,0.866235062,-0.207169527,0.064356391,0.141924413
ENSDARG00000001835,nalcn,"sodium leak channel, non-selective",9.769775882,3.817646547,0.390823267,-1.355411738,0.014292594,0.041164641
ENSDARG00000001857,aff4,"AF4/FMR2 family, member 4",1464.411056,1310.405625,0.894834634,-0.160306999,0.139519996,0.261402639
ENSDARG00000001859,dbx1b,developing brain homeobox 1b,12.52626171,13.83647286,1.10458879,0.143509392,0.774717124,0.87893158
ENSDARG00000001870,atp1a1a.4,"ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 4",3.188785285,2.287885934,0.7175674,-0.478813747,0.665652834,0.799483889
ENSDARG00000001873,phgdh,phosphoglycerate dehydrogenase,1538.50591,1782.066942,1.158310002,0.212021418,0.255638439,0.413102398
ENSDARG00000001879,nav2b,neuron navigator 2b,3736.695606,4215.520224,1.128141155,0.173947591,0.105258162,0.209745595
ENSDARG00000001880,stx3a,syntaxin 3A,315.5501629,351.4199201,1.113673348,0.155326137,0.385811956,0.556314646
ENSDARG00000001881,cacnb3a,"calcium channel, voltage-dependent, beta 3a",97.02430995,146.9020415,1.514069283,0.598431224,0.016208319,0.045828688
ENSDARG00000001888,ppm1ba,"protein phosphatase, Mg2+/Mn2+ dependent, 1Ba",765.0195314,683.8089045,0.893845167,-0.161903148,0.15406943,0.281794384
ENSDARG00000001889,tuba1a,zgc:123298,68.71468721,148.3012006,2.158200066,1.109828609,2.58E-11,3.92E-10
ENSDARG00000001890,si:dkey-239i15.3,,2813.49993,2236.187396,0.794806347,-0.331324702,0.002559888,0.009434899
ENSDARG00000001891,syt14b,neuromedin B receptor,91.20758364,84.44939754,0.925904056,-0.111065388,0.563976037,0.718915859
ENSDARG00000001897,man2b1,"mannosidase, alpha, class 2B, member 1",514.0103542,668.8680692,1.301272946,0.379923604,0.001104057,0.004515001
ENSDARG00000001898,manea,"mannosidase, endo-alpha",119.3074897,125.593392,1.052686127,0.074075341,0.577420953,0.73111664
ENSDARG00000001906,si:dkey-247m21.3,5-hydroxytryptamine receptor 4-like,9.537413366,16.71504936,1.752497896,0.809412712,0.034006595,0.084705231
ENSDARG00000001909,,villin-like,211.2927695,94.90413093,0.449161994,-1.154692235,1.72E-14,3.54E-13
ENSDARG00000001910,rorab,"RAR-related orphan receptor A, paralog b",1309.503219,1674.924062,1.279052818,0.355075841,0.00122672,0.004955152
ENSDARG00000001929,pink1,PTEN induced putative kinase 1,366.1951166,555.8002361,1.517769334,0.601952551,4.92E-07,4.07E-06
ENSDARG00000001930,klhl15,kelch-like family member 15,176.5410678,195.7372558,1.108734356,0.148913748,0.298234743,0.463379534
ENSDARG00000001933,prkag2b,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit b",307.8114302,284.0358291,0.922759451,-0.115973486,0.361606252,0.531140521
ENSDARG00000001937,,"solute carrier family 2, facilitated glucose transporter member 1-like",2.052338491,2.126208231,1.035975432,0.050989791,1,1
ENSDARG00000001939,b3gat3,"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)",188.6159561,140.96067,0.747343574,-0.420156454,0.005553133,0.018432213
ENSDARG00000001940,dnajc1,"DnaJ (Hsp40) homolog, subfamily C, member 1",766.6196812,507.3335932,0.661780468,-0.595575383,3.42E-07,2.92E-06
ENSDARG00000001950,ak1,adenylate kinase 1,863.1858601,1092.355611,1.265492631,0.339699107,0.002373588,0.008844363
ENSDARG00000001953,pfkfb3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",683.7076605,813.4523994,1.189766119,0.250678,0.501688389,0.666311487
ENSDARG00000001968,dock5,dedicator of cytokinesis 5,1934.402258,1343.680272,0.694623143,-0.525697616,1.17E-06,9.13E-06
ENSDARG00000001969,txlng,taxilin gamma,414.3879639,406.8697154,0.981857025,-0.026415135,0.855889585,0.933870698
ENSDARG00000001971,cthrc1b,collagen triple helix repeat containing 1b,13.45883532,2.865871113,0.212994516,-2.231111807,0.000323471,0.001510781
ENSDARG00000001975,hsd11b2,hydroxysteroid (11-beta) dehydrogenase 2,383.6161792,476.1846427,1.24130427,0.311856794,0.00868728,0.027127291
ENSDARG00000001976,fkbp16,,82.33357021,125.2138476,1.520805261,0.604835428,0.000298388,0.001408753
ENSDARG00000001993,myhb,"myosin, heavy chain b",9.001648558,9.584459724,1.064737745,0.090498125,0.853112468,0.9320874
ENSDARG00000001994,stxbp1a,syntaxin binding protein 1a,6.521409979,4.760004792,0.72994565,-0.454139046,0.430444832,0.600146543
ENSDARG00000001999,adamts18,"ADAM metallopeptidase with thrombospondin type 1 motif, 18",56.82864795,15.08343532,0.265432496,-1.913583087,2.26E-13,4.25E-12
ENSDARG00000002002,lmcd1,LIM and cysteine-rich domains 1,44.91068709,66.2298593,1.474690968,0.560412659,0.005948224,0.019566022
ENSDARG00000002006,rxrbb,"retinoid x receptor, beta b",746.0765527,705.2970109,0.945341417,-0.081092631,0.463209457,0.630618005
ENSDARG00000002013,grb10a,growth factor receptor-bound protein 10a,1203.14145,3393.817354,2.820795122,1.496101885,5.18E-27,2.59E-25
ENSDARG00000002016,ppil2,peptidylprolyl isomerase (cyclophilin)-like 2,332.1008798,348.7764713,1.050212277,0.070680966,0.571394461,0.725605858
ENSDARG00000002020,rictorb,"RPTOR independent companion of MTOR, complex 2b",640.7766836,614.7637155,0.959404067,-0.05978954,0.708153969,0.833160777
ENSDARG00000002021,pygb,"phosphorylase, glycogen; brain",1596.732453,915.5977278,0.573419894,-0.802336137,8.30E-13,1.48E-11
ENSDARG00000002026,qkib,"QKI, KH domain containing, RNA binding b",101.5801399,55.93194724,0.550623347,-0.860862312,2.47E-06,1.80E-05
ENSDARG00000002031,tox4a,TOX high mobility group box family member 4 a,281.0794349,204.8721332,0.728877246,-0.456252232,0.000655529,0.002835334
ENSDARG00000002037,pfkfb2b,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2-like",194.9300376,141.4225659,0.725505633,-0.462941279,0.001572979,0.00617581
ENSDARG00000002060,brf2,"BRF2, RNA polymerase III transcription initiation factor",36.65689299,37.1942779,1.01465946,0.020995611,0.939574428,0.986797698
ENSDARG00000002071,adss,adenylosuccinate synthase,421.2689283,451.808943,1.072495122,0.100971086,0.394717335,0.565428113
ENSDARG00000002077,mnat1,MNAT CDK-activating kinase assembly factor 1,89.24596391,60.94074469,0.682843898,-0.550372288,0.005576232,0.018495766
ENSDARG00000002082,csnk2a1,"casein kinase 2, alpha 1 polypeptide",1188.95893,1040.639759,0.875253011,-0.192227975,0.083645934,0.174852575
ENSDARG00000002084,lamb2,"laminin, beta 2 (laminin S)",56.41420206,61.04724391,1.082123996,0.113865821,0.581515194,0.734037085
ENSDARG00000002127,stam,signal transducing adaptor molecule (SH3 domain and ITAM motif) 1,299.6304251,325.9044596,1.087687847,0.12126458,0.343413257,0.512187348
ENSDARG00000002128,cwf19l1,"CWF19-like 1, cell cycle control",200.5615864,199.1645501,0.993034412,-0.010084381,0.938150048,0.985863293
ENSDARG00000002131,celf2,"cugbp, Elav-like family member 2",1087.594513,709.1794199,0.652062657,-0.616917495,5.48E-08,5.29E-07
ENSDARG00000002165,psme1,"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)",948.186294,1130.737956,1.192527008,0.25402194,0.025357555,0.066554695
ENSDARG00000002167,cacnb1,"calcium channel, voltage-dependent, beta 1 subunit",36.92863849,12.8519954,0.348040109,-1.52267452,2.08E-07,1.84E-06
ENSDARG00000002168,tra2b,transformer 2 beta homolog (Drosophila),208.1668159,155.7145803,0.748029082,-0.418833734,0.003891467,0.013593415
ENSDARG00000002172,aplnra,apelin receptor a,10.10935452,19.60744286,1.939441671,0.955641387,0.009010028,0.027985493
ENSDARG00000002174,itfg2,integrin alpha FG-GAP repeat containing 2,78.17974717,83.45178694,1.067433991,0.094146857,0.636488355,0.776257085
ENSDARG00000002184,igbp1,immunoglobulin (CD79A) binding protein 1,340.1472036,346.5204746,1.018736747,0.026781292,0.803045235,0.897710674
ENSDARG00000002190,chmp2bb,charged multivesicular body protein 2Bb,1405.047765,2506.608597,1.784001851,0.835117112,1.45E-14,3.01E-13
ENSDARG00000002192,aspn,asporin (LRR class 1),587.2105523,1539.307227,2.621386144,1.390329886,1.79E-34,1.40E-32
ENSDARG00000002194,rhd,"Rh blood group, D antigen",25.99674063,34.25216798,1.317544031,0.397851176,0.143180228,0.266386789
ENSDARG00000002196,bach1b,"BTB and CNC homology 1, basic leucine zipper transcription factor 1 b",219.0244539,281.9905863,1.287483172,0.364553576,0.018427884,0.05102372
ENSDARG00000002197,pygl,,33.24111989,9.736605248,0.292929731,-1.771373466,0.000173706,0.000866644
ENSDARG00000002204,hspb11,"heat shock protein, alpha-crystallin-related, b11",0.927828951,2.21319402,2.383855518,1.253296799,0.302367005,0.467997976
ENSDARG00000002210,stk25a,serine/threonine kinase 25a,301.9904876,175.7623605,0.582014288,-0.780873525,1.05E-08,1.12E-07
ENSDARG00000002213,invs,inversin,409.2964686,236.9952313,0.579031754,-0.788285627,1.11E-09,1.36E-08
ENSDARG00000002215,rtca,RNA 3'-terminal phosphate cyclase,372.8760784,352.4314358,0.945170557,-0.081353406,0.553798346,0.71128836
ENSDARG00000002216,tbx3a,T-box 3a,197.0676861,153.7068925,0.779971164,-0.358507307,0.063607833,0.140587186
ENSDARG00000002217,scocb,short coiled-coil protein b,62.63675495,84.98100315,1.356721728,0.440124846,0.024563197,0.064896552
ENSDARG00000002219,si:dkey-103j14.5,si:dkey-103j14.5,5.813266583,0.442614169,0.076297528,-3.712219868,0.000282992,0.001345618
ENSDARG00000002220,zgc:103692,zgc:103692,184.2427397,182.0093379,0.987878004,-0.017595204,0.906418243,0.965430937
ENSDARG00000002231,,lipid phosphate phosphohydrolase 2-like,895.70818,881.0586251,0.983644742,-0.023790736,0.838930134,0.923707229
ENSDARG00000002235,mmp14a,matrix metallopeptidase 14a (membrane-inserted),1039.571404,1987.636508,1.911976021,0.93506443,1.88E-17,5.07E-16
ENSDARG00000002240,psmb6,"proteasome (prosome, macropain) subunit, beta type, 6",457.6606945,468.7874917,1.024312275,0.034655607,0.754328382,0.86406586
ENSDARG00000002249,tbxas1,thromboxane A synthase 1 (platelet),250.1824327,246.5930019,0.985652804,-0.020848548,0.878275786,0.948335248
ENSDARG00000002255,epb41l3a,erythrocyte membrane protein band 4.1-like 3a,11.51958194,29.66735384,2.575247847,1.364711287,0.006091429,0.019980912
ENSDARG00000002264,mrpl41,mitochondrial ribosomal protein L41,103.5323591,81.34131797,0.785662889,-0.34801768,0.053025142,0.121392978
ENSDARG00000002267,dcaf13,ddb1 and cul4 associated factor 13,539.6062655,410.3895275,0.760535585,-0.394912342,0.008770069,0.027349061
ENSDARG00000002271,zfand5b,"zinc finger, AN1-type domain 5b",674.4095085,678.5799054,1.006183766,0.008893818,0.941995024,0.988146569
